STATE,PRIM_STATE,LOC_QUOTIENT,OCC_CODE,OCC_TITLE,TOT_EMP,JOBS_1000,H_MEAN,Annual_Mean_Wage
Alabama,AL,0.74,110000,Management Occupations,105580.0,51.424,56.21,116920.0
Alabama,AL,0.25,111011,Chief Executives,720.0,0.348,106.26,221030.0
Alabama,AL,0.73,111021,General And Operations Managers,34450.0,16.781,62.17,129310.0
Alabama,AL,0.24,112011,Advertising And Promotions Managers,70.0,0.032,53.99,112290.0
Alabama,AL,0.3,112021,Marketing Managers,1490.0,0.728,62.94,130920.0
Alabama,AL,0.47,112022,Sales Managers,3650.0,1.778,66.2,137700.0
Alabama,AL,0.15,113012,Administrative Services Managers,480.0,0.234,61.64,128220.0
Alabama,AL,0.47,113013,Facilities Managers,830.0,0.404,56.98,118510.0
Alabama,AL,0.72,113021,Computer And Information Systems Managers,5800.0,2.827,67.92,141270.0
Alabama,AL,0.55,113031,Financial Managers,5810.0,2.832,71.99,149750.0
Alabama,AL,1.03,113051,Industrial Production Managers,3110.0,1.517,58.96,122630.0
Alabama,AL,1.3,113061,Purchasing Managers,1360.0,0.665,59.61,123990.0
Alabama,AL,0.46,113071,"Transportation, Storage, And Distribution Managers",1240.0,0.602,53.29,110850.0
Alabama,AL,0.54,113111,Compensation And Benefits Managers,140.0,0.067,53.44,111160.0
Alabama,AL,0.67,113121,Human Resources Managers,1810.0,0.88,56.72,117980.0
Alabama,AL,0.21,113131,Training And Development Managers,120.0,0.058,54.59,113540.0
Alabama,AL,1.45,119021,Construction Managers,6440.0,3.136,50.06,104120.0
Alabama,AL,1.45,119033,"Education Administrators, Postsecondary",3290.0,1.602,57.53,119660.0
Alabama,AL,1.06,119041,Architectural And Engineering Managers,2970.0,1.447,75.59,157230.0
Alabama,AL,0.16,119121,Natural Sciences Managers,210.0,0.1,59.15,123040.0
Alabama,AL,0.41,119199,"Managers, All Other",3290.0,1.604,54.02,112350.0
Alabama,AL,0.51,131111,Management Analysts,5830.0,2.842,54.03,112390.0
Alabama,AL,0.46,131199,"Business Operations Specialists, All Other",6880.0,3.353,49.23,102400.0
Alabama,AL,0.28,132054,Financial Risk Specialists,210.0,0.101,48.31,100490.0
Alabama,AL,0.88,151211,Computer Systems Analysts,5950.0,2.897,52.18,108520.0
Alabama,AL,1.11,151212,Information Security Analysts,2630.0,1.281,52.61,109420.0
Alabama,AL,1.01,151221,Computer And Information Research Scientists,480.0,0.235,50.66,105360.0
Alabama,AL,1.44,151241,Computer Network Architects,3390.0,1.652,60.99,126860.0
Alabama,AL,0.38,151243,Database Architects,310.0,0.149,55.0,114400.0
Alabama,AL,0.76,151252,Software Developers,17130.0,8.346,53.19,110630.0
Alabama,AL,0.67,151253,Software Quality Assurance Analysts And Testers,1850.0,0.9,48.81,101520.0
Alabama,AL,0.21,152011,Actuaries,70.0,0.035,53.28,110810.0
Alabama,AL,0.36,152031,Operations Research Analysts,570.0,0.28,54.04,112400.0
Alabama,AL,1.39,170000,Architecture And Engineering Occupations,47820.0,23.292,48.95,101810.0
Alabama,AL,5.49,172011,Aerospace Engineers,4950.0,2.41,62.37,129740.0
