STATEICP,DEGFIELDD,EDUCD,OCC_CODE,INCTOT,SEX,AGE,STATE,EDUCATION_LABEL,DEGFIELDD_NAME
41,2417,101,112022,247841,Male,47,Alabama,Bachelor's degree,Petroleum Engineering
41,4101,114,551010,112230,Male,43,Alabama,Master's degree,General Engineering
41,5901,101,001191,149640,Female,54,Alabama,Bachelor's degree,Educational Leadership
41,3401,101,113061,104046,Male,36,Alabama,Bachelor's degree,Physical Sciences
41,6004,114,119030,457102,Female,54,Alabama,Master's degree,Medical Assisting
41,3401,114,131151,141456,Male,52,Alabama,Master's degree,Physical Sciences
41,6107,114,251000,100539,Female,57,Alabama,Master's degree,Athletic Training
41,6201,101,151251,122751,Male,64,Alabama,Bachelor's degree,Clinical Psychology
41,5301,114,559830,128597,Male,36,Alabama,Master's degree,Business Administration
41,6200,101,111021,116906,Male,39,Alabama,Bachelor's degree,Psychology
41,2502,101,000439,105917,Male,30,Alabama,Bachelor's degree,Electrical Engineering Tech
41,1101,116,001191,116906,Male,41,Alabama,Doctoral degree,Agriculture Production and Management
41,3600,101,172051,140287,Male,35,Alabama,Bachelor's degree,Chemistry
41,6212,101,151212,109892,Male,44,Alabama,Bachelor's degree,Abnormal Psychology
41,2418,101,001721,177697,Male,31,Alabama,Bachelor's degree,Miscellaneous Engineering
41,6203,114,211012,144963,Male,61,Alabama,Master's degree,Developmental Psychology
41,5301,114,532010,112230,Male,45,Alabama,Master's degree,Business Administration
41,6203,114,001110,135026,Male,48,Alabama,Master's degree,Developmental Psychology
41,2599,101,001191,102877,Male,30,Alabama,Bachelor's degree,Miscellaneous Engineering Tech
41,6107,114,251000,133507,Male,62,Alabama,Master's degree,Athletic Training
41,6203,114,131151,156537,Male,59,Alabama,Master's degree,Developmental Psychology
41,5403,114,251000,111178,Female,58,Alabama,Master's degree,Finance
41,2407,101,172051,156069,Male,45,Alabama,Bachelor's degree,Computer Engineering
41,5901,101,212011,192193,Male,56,Alabama,Bachelor's degree,Educational Leadership
41,6201,101,113051,135611,Male,42,Alabama,Bachelor's degree,Clinical Psychology
41,3606,101,292034,154900,Female,45,Alabama,Bachelor's degree,Planetary Science
41,2408,114,001721,126258,Male,36,Alabama,Master's degree,Electrical Engineering
41,2414,101,511011,147302,Male,31,Alabama,Bachelor's degree,Mining Engineering
41,6212,101,111021,123920,Male,32,Alabama,Bachelor's degree,Abnormal Psychology
41,6110,101,232011,457102,Female,35,Alabama,Bachelor's degree,Community Health Services
