State Abbreviation,State,Gender,Age,Education Code,Education Level,Degree Field,Occupation Code,Occupation,Annual Income,Employment,Location Quotient,Jobs per 1000,Hourly Mean,Annual Mean Wage
AL,Alabama,Male,47,101,Bachelor's degree,2417,112022,Sales Managers,247841,3650.0,0.47,1.778,66.2,137700.0
AL,Alabama,Male,36,101,Bachelor's degree,3401,113061,Purchasing Managers,104046,1360.0,1.3,0.665,59.61,123990.0
AL,Alabama,Male,39,101,Bachelor's degree,6200,111021,General And Operations Managers,116906,34450.0,0.73,16.781,62.17,129310.0
AL,Alabama,Male,44,101,Bachelor's degree,6212,151212,Information Security Analysts,109892,2630.0,1.11,1.281,52.61,109420.0
AL,Alabama,Male,42,101,Bachelor's degree,6201,113051,Industrial Production Managers,135611,3110.0,1.03,1.517,58.96,122630.0
AL,Alabama,Male,32,101,Bachelor's degree,6212,111021,General And Operations Managers,123920,34450.0,0.73,16.781,62.17,129310.0
AL,Alabama,Female,31,101,Bachelor's degree,6200,112022,Sales Managers,151978,3650.0,0.47,1.778,66.2,137700.0
AL,Alabama,Male,32,101,Bachelor's degree,6206,112021,Marketing Managers,176996,1490.0,0.3,0.728,62.94,130920.0
AL,Alabama,Male,27,114,Master's degree,2401,151212,Information Security Analysts,112814,2630.0,1.11,1.281,52.61,109420.0
AL,Alabama,Male,26,101,Bachelor's degree,6200,113013,Facilities Managers,166007,830.0,0.47,0.404,56.98,118510.0
AL,Alabama,Male,47,101,Bachelor's degree,2408,172141,Mechanical Engineers,122751,5280.0,1.39,2.57,49.7,103380.0
AL,Alabama,Male,48,114,Master's degree,2400,113021,Computer And Information Systems Managers,169514,5800.0,0.72,2.827,67.92,141270.0
AL,Alabama,Male,38,114,Master's degree,2406,172011,Aerospace Engineers,124505,4950.0,5.49,2.41,62.37,129740.0
AL,Alabama,Male,37,114,Master's degree,2414,172131,Materials Engineers,118075,610.0,1.83,0.297,51.43,106980.0
AL,Alabama,Male,52,101,Bachelor's degree,6200,131199,"Business Operations Specialists, All Other",104046,6880.0,0.46,3.353,49.23,102400.0
AL,Alabama,Female,36,114,Master's degree,2407,151252,Software Developers,111377,17130.0,0.76,8.346,53.19,110630.0
AL,Alabama,Male,44,114,Master's degree,5007,113121,Human Resources Managers,215865,1810.0,0.67,0.88,56.72,117980.0
AL,Alabama,Male,40,101,Bachelor's degree,2105,151241,Computer Network Architects,117118,3390.0,1.44,1.652,60.99,126860.0
AL,Alabama,Male,44,101,Bachelor's degree,6212,113021,Computer And Information Systems Managers,149268,5800.0,0.72,2.827,67.92,141270.0
AL,Alabama,Male,51,114,Master's degree,5601,119021,Construction Managers,212420,6440.0,1.45,3.136,50.06,104120.0
AL,Alabama,Male,31,101,Bachelor's degree,1901,131111,Management Analysts,139049,5830.0,0.51,2.842,54.03,112390.0
AL,Alabama,Female,31,101,Bachelor's degree,6107,291151,Nurse Anesthetists,189456,1290.0,2.0,0.629,83.35,173370.0
